,airline,departure,destination,layover,price,stops,travelTime
191,Delta,CHS,ATL,ZZZ,179,0,1.42
192,American Airlines,CHS,ATL,CLT,186,1,3.23
193,American Airlines,CHS,ATL,CLT,186,1,3.77
194,American Airlines,CHS,ATL,CLT,186,1,4.35
195,American Airlines,CHS,ATL,CLT,186,1,4.7
196,American Airlines,CHS,ATL,CLT,186,1,5.47
197,American Airlines,CHS,ATL,CLT,186,1,5.6
198,American Airlines,CHS,ATL,CLT,186,1,6.05
199,United,CHS,ATL,ORD,214,1,7.57
200,American Airlines,CHS,ATL,CLT,224,1,3.6
201,American Airlines,CHS,ATL,CLT,224,1,5.1
202,American Airlines,CHS,ATL,CLT,224,1,5.27
203,JetBlue Airways,CHS,ATL,FLL,232,1,8.05
204,Delta,CHS,ATL,ZZZ,259,0,1.3
205,Delta,CHS,ATL,ZZZ,259,0,1.3
206,United,CHS,ATL,IAH,269,1,5.97
207,United,CHS,ATL,IAD,272,1,4.23
208,American Airlines,CHS,ATL,CLT,278,1,4.17
209,American Airlines,CHS,ATL,CLT,278,1,4.55
210,American Airlines,CHS,ATL,CLT,278,1,6.05
211,United,CHS,ATL,IAD,287,1,4.12
212,JetBlue Airways,CHS,ATL,JFK,296,1,7.03
213,JetBlue Airways,CHS,ATL,BOS,320,1,10.55
214,JetBlue Airways,CHS,ATL,BOS,320,1,11.85
215,United,CHS,ATL,EWR,342,1,9.73
216,American Airlines,CHS,ATL,CLT,355,1,4.9
217,American Airlines,CHS,ATL,CLT,355,1,6.52
218,JetBlue Airways,CHS,ATL,BOS,382,1,7.17
219,United,CHS,ATL,IAH,388,1,7.78
220,JetBlue Airways,CHS,ATL,JFK,416,1,5.27
221,United,CHS,ATL,IAH,428,1,5.83
222,American Airlines,CHS,ATL,CLT,506,1,3.67
223,United,CHS,EWR,ZZZ,182,0,2.0
224,United,CHS,EWR,ZZZ,194,0,2.0
225,United,CHS,EWR,ORD,202,1,7.83
226,American Airlines,CHS,EWR,CLT,222,1,6.82
227,United,CHS,EWR,ZZZ,243,0,2.0
228,United,CHS,EWR,IAD,251,1,4.08
229,United,CHS,EWR,ORD,276,1,5.07
230,United,CHS,EWR,ORD,276,1,6.42
231,American Airlines,CHS,EWR,CLT,294,1,3.85
232,American Airlines,CHS,EWR,CLT,294,1,3.87
233,American Airlines,CHS,EWR,CLT,294,1,4.23
234,American Airlines,CHS,EWR,CLT,294,1,4.75
235,American Airlines,CHS,EWR,CLT,294,1,4.87
236,American Airlines,CHS,EWR,CLT,294,1,4.98
237,American Airlines,CHS,EWR,CLT,294,1,5.35
238,American Airlines,CHS,EWR,CLT,294,1,5.63
239,American Airlines,CHS,EWR,CLT,294,1,6.45
240,United,CHS,EWR,IAD,295,1,3.7199999999999998
241,United,CHS,EWR,IAD,295,1,3.9
242,United,CHS,EWR,IAD,295,1,4.17
243,Delta,CHS,EWR,ATL,295,1,4.47
244,Delta,CHS,EWR,ATL,295,1,5.47
245,Delta,CHS,EWR,ATL,295,1,6.55
246,Delta,CHS,EWR,ATL,295,1,7.0
247,United,CHS,EWR,ORD,301,1,5.8
248,JetBlue Airways,CHS,EWR,FLL,308,1,6.63
249,United,CHS,EWR,ZZZ,314,0,2.25
250,JetBlue Airways,CHS,EWR,BOS,321,1,7.57
251,JetBlue Airways,CHS,EWR,BOS,327,1,8.87
252,United,CHS,EWR,ZZZ,346,0,2.23
253,American Airlines,CHS,EWR,CLT,353,1,4.0
254,American Airlines,CHS,EWR,CLT,353,1,4.65
255,American Airlines,CHS,EWR,CLT,353,1,5.62
256,American Airlines,CHS,EWR,CLT,353,1,7.12
257,Delta,CHS,EWR,ATL,354,1,4.0
258,Delta,CHS,EWR,ATL,354,1,4.87
259,Delta,CHS,EWR,ATL,354,1,5.0
260,Delta,CHS,EWR,ATL,354,1,5.07
261,Delta,CHS,EWR,ATL,354,1,5.48
262,Delta,CHS,EWR,ATL,354,1,5.68
263,Delta,CHS,EWR,ATL,354,1,6.0
264,Delta,CHS,EWR,ATL,354,1,6.68
265,Delta,CHS,EWR,ATL,354,1,6.73
266,Delta,CHS,EWR,ATL,354,1,6.93
267,Delta,CHS,EWR,DTW,431,1,5.02
268,Delta,CHS,EWR,ATL,431,1,5.33
269,Delta,CHS,LAS,ATL,167,1,7.23
270,Delta,CHS,LAS,ATL,167,1,7.75
271,Delta,CHS,LAS,ATL,167,1,8.97
272,American Airlines,CHS,LAS,CLT,182,1,9.23
273,American Airlines,CHS,LAS,CLT,215,1,7.35
274,American Airlines,CHS,LAS,CLT,215,1,7.4
275,American Airlines,CHS,LAS,CLT,215,1,7.62
276,American Airlines,CHS,LAS,CLT,215,1,9.32
277,Delta,CHS,LAS,ATL,229,1,6.23
278,Delta,CHS,LAS,ATL,229,1,8.28
279,United,CHS,LAS,IAH,246,1,7.5
280,United,CHS,LAS,ORD,246,1,8.18
281,Delta,CHS,LAS,ATL,264,1,7.23
282,American Airlines,CHS,LAS,DFW,304,1,9.4
283,Delta,CHS,LAS,ATL,319,1,6.6
284,Delta,CHS,LAS,ATL,319,1,8.05
285,JetBlue Airways,CHS,LAS,JFK,347,1,9.0
286,American Airlines,CHS,LAS,DFW,359,1,8.75
287,United,CHS,LAS,IAH,366,1,6.92
288,United,CHS,LAS,ORD,366,1,7.88
289,United,CHS,LAS,IAH,366,1,9.6
290,American Airlines,CHS,LAS,DFW,403,1,7.25
291,American Airlines,CHS,LAS,DFW,404,1,7.08
292,United,CHS,LAS,ORD,425,1,7.88
293,American Airlines,CHS,LAS,MIA,425,1,8.35
294,United,CHS,LAS,EWR,425,1,11.45
295,JetBlue Airways,CHS,LAS,BOS,429,1,9.5
296,JetBlue Airways,CHS,LAS,BOS,429,1,10.8
297,United,CHS,LAS,EWR,453,1,9.87
298,JetBlue Airways,CHS,LAS,JFK,456,1,8.42
299,United,CHS,LAS,IAD,464,1,7.42
300,United,CHS,LAS,IAD,489,1,7.3
301,Alaska Airlines,CHS,LAS,SEA,587,1,10.67
302,American Airlines,CHS,LAS,CLT,842,1,7.15
303,JetBlue Airways,CHS,JFK,ZZZ,154,0,2.23
304,Delta,CHS,JFK,ZZZ,174,0,2.18
305,JetBlue Airways,CHS,JFK,ZZZ,194,0,1.92
306,JetBlue Airways,CHS,JFK,ZZZ,194,0,2.18
307,American Airlines,CHS,JFK,CLT,228,1,3.82
308,American Airlines,CHS,JFK,CLT,228,1,5.15
309,American Airlines,CHS,JFK,CLT,228,1,5.92
310,Delta,CHS,JFK,ZZZ,243,0,1.9300000000000002
311,Delta,CHS,JFK,ZZZ,243,0,2.17
312,Delta,CHS,JFK,ATL,251,1,4.92
313,Delta,CHS,JFK,ATL,251,1,5.02
314,JetBlue Airways,CHS,JFK,ZZZ,314,0,2.0
315,American Airlines,CHS,JFK,CLT,321,1,3.9699999999999998
316,American Airlines,CHS,JFK,CLT,321,1,4.48
317,American Airlines,CHS,JFK,CLT,321,1,4.58
318,American Airlines,CHS,JFK,CLT,321,1,6.18
319,Delta,CHS,JFK,ATL,322,1,6.13
320,American Airlines,CHS,JFK,DCA,322,1,6.68
321,American Airlines,CHS,JFK,CLT,391,1,4.8
322,Delta,CHS,JFK,ATL,402,1,4.45
323,Delta,CHS,JFK,ATL,402,1,6.13
324,Delta,CHS,JFK,ATL,402,1,7.38
325,Delta,CHS,JFK,ATL,502,1,4.53
326,Delta,CHS,JFK,ATL,672,1,4.58
327,Delta,CHS,JFK,ATL,672,1,5.58
328,Delta,CHS,JFK,ATL,672,1,6.58
329,American Airlines,CHS,MIA,ZZZ,111,0,1.83
330,American Airlines,CHS,MIA,ZZZ,136,0,1.87
331,American Airlines,CHS,MIA,ZZZ,195,0,1.72
332,American Airlines,CHS,MIA,ZZZ,195,0,1.78
333,American Airlines,CHS,MIA,CLT,242,1,4.1
334,American Airlines,CHS,MIA,CLT,242,1,4.35
335,American Airlines,CHS,MIA,CLT,242,1,5.22
336,American Airlines,CHS,MIA,CLT,242,1,5.93
337,American Airlines,CHS,MIA,CLT,242,1,6.92
338,United,CHS,MIA,IAH,247,1,6.12
339,United,CHS,MIA,ORD,271,1,10.82
340,United,CHS,MIA,EWR,278,1,10.43
341,United,CHS,MIA,EWR,278,1,11.43
342,Delta,CHS,MIA,ATL,284,1,5.88
343,Delta,CHS,MIA,ATL,284,1,7.1
344,United,CHS,MIA,IAH,288,1,6.43
345,United,CHS,MIA,IAH,288,1,8.42
346,United,CHS,MIA,EWR,313,1,7.05
347,Delta,CHS,MIA,ATL,319,1,4.07
348,United,CHS,MIA,EWR,321,1,9.18
349,Delta,CHS,MIA,ATL,325,1,8.63
350,Delta,CHS,MIA,ATL,325,1,9.37
351,Delta,CHS,MIA,ATL,325,1,9.63
352,Delta,CHS,MIA,ATL,325,1,9.72
353,Delta,CHS,MIA,ATL,325,1,10.63
354,Delta,CHS,MIA,ATL,325,1,10.72
355,Delta,CHS,MIA,ATL,325,1,10.73
356,American Airlines,CHS,MIA,CLT,338,1,4.52
357,American Airlines,CHS,MIA,CLT,338,1,4.87
358,American Airlines,CHS,MIA,CLT,338,1,5.17
359,American Airlines,CHS,MIA,CLT,338,1,5.93
360,American Airlines,CHS,MIA,CLT,338,1,6.02
361,American Airlines,CHS,MIA,CLT,338,1,6.48
362,Delta,CHS,MIA,ATL,339,1,3.82
363,Delta,CHS,MIA,ATL,339,1,3.88
364,Delta,CHS,MIA,ATL,339,1,3.9
365,Delta,CHS,MIA,ATL,339,1,4.13
366,Delta,CHS,MIA,ATL,339,1,4.25
367,Delta,CHS,MIA,ATL,339,1,4.77
368,Delta,CHS,MIA,ATL,339,1,4.9
369,Delta,CHS,MIA,ATL,339,1,4.9
370,Delta,CHS,MIA,ATL,339,1,5.25
371,Delta,CHS,MIA,ATL,339,1,5.28
372,Delta,CHS,MIA,ATL,339,1,6.25
373,Delta,CHS,MIA,ATL,339,1,6.37
374,Delta,CHS,MIA,ATL,339,1,6.92
375,Delta,CHS,MIA,ATL,339,1,7.03
376,United,CHS,MIA,EWR,362,1,5.8
377,Delta,CHS,MIA,ATL,400,1,10.62
378,Delta,CHS,MIA,ATL,493,1,7.37
379,Delta,CHS,MIA,ATL,493,1,8.37
380,Delta,CHS,MIA,ATL,525,1,8.12
381,Delta,CHS,MIA,ATL,525,1,8.8
382,Delta,CHS,MIA,ATL,525,1,9.13
383,Delta,CHS,MIA,ATL,525,1,11.15
384,Delta,CHS,MIA,JFK,792,1,7.85
385,Frontier Airlines,CHS,TTN,ZZZ,134,0,1.8199999999999998
386,American Airlines,CHS,PHL,CLT,196,1,4.9
387,American Airlines,CHS,PHL,CLT,196,1,5.67
388,American Airlines,CHS,PHL,CLT,233,1,3.77
389,American Airlines,CHS,PHL,CLT,233,1,4.45
390,American Airlines,CHS,PHL,CLT,233,1,5.82
391,Delta,CHS,PHL,ATL,234,1,5.37
392,United,CHS,PHL,ORD,287,1,7.43
393,JetBlue Airways,CHS,PHL,BOS,300,1,8.98
394,JetBlue Airways,CHS,PHL,BOS,300,1,10.28
395,JetBlue Airways,CHS,PHL,BOS,307,1,4.72
396,JetBlue Airways,CHS,PHL,BOS,307,1,6.02
397,JetBlue Airways,CHS,PHL,BOS,307,1,6.58
398,United,CHS,PHL,ORD,322,1,8.2
399,American Airlines,CHS,PHL,CLT,327,1,3.98
400,American Airlines,CHS,PHL,CLT,327,1,4.03
401,American Airlines,CHS,PHL,CLT,327,1,5.18
402,American Airlines,CHS,PHL,CLT,327,1,6.15
403,American Airlines,CHS,PHL,CLT,327,1,6.68
404,Delta,CHS,PHL,ATL,328,1,5.13
405,Delta,CHS,PHL,ATL,328,1,6.58
406,Delta,CHS,PHL,ATL,328,1,6.75
407,JetBlue Airways,CHS,PHL,BOS,361,1,5.6
408,United,CHS,PHL,ORD,362,1,7.32
409,United,CHS,PHL,ORD,368,1,10.45
410,American Airlines,CHS,PHL,CLT,371,1,3.68
411,American Airlines,CHS,PHL,CLT,371,1,3.7199999999999998
412,Delta,CHS,PHL,ATL,372,1,5.52
413,Delta,CHS,PHL,ATL,372,1,5.55
414,Delta,CHS,PHL,ATL,372,1,6.8
415,United,CHS,ZFV,EWR,594,1,4.8
416,United,CHS,ZFV,EWR,594,1,5.03
417,United,CHS,ZFV,EWR,594,1,5.45
418,United,CHS,ZFV,EWR,594,1,5.6
419,United,CHS,ZFV,EWR,594,1,5.92
420,United,CHS,ZFV,EWR,594,1,6.28
421,American Airlines,CHS,PHL,ZZZ,620,0,1.85
422,American Airlines,CHS,PHL,ZZZ,620,0,1.9
423,American Airlines,CHS,PHL,ZZZ,620,0,1.9
424,American Airlines,CHS,PHL,ZZZ,620,0,2.07
425,American Airlines,CHS,PHL,ZZZ,620,0,2.07
426,American Airlines,CHS,PHL,CLT,627,1,3.73
427,Delta,CHS,PHL,ATL,628,1,4.0
428,Delta,CHS,PHL,ATL,628,1,4.03
429,Delta,CHS,PHL,ATL,628,1,4.07
430,Delta,CHS,PHL,ATL,628,1,4.33
431,Delta,CHS,PHL,ATL,628,1,4.52
432,Delta,CHS,PHL,ATL,628,1,4.75
433,Delta,CHS,PHL,ATL,628,1,5.63
434,Delta,CHS,PHL,ATL,628,1,5.75
435,Delta,CHS,PHL,ATL,628,1,5.75
436,Delta,CHS,PHL,ATL,628,1,6.63
437,Delta,CHS,PHL,ATL,628,1,6.88
438,American Airlines,CHS,DFW,ZZZ,188,0,2.83
439,American Airlines,CHS,DFW,ZZZ,188,0,2.88
440,United,CHS,DFW,IAH,233,1,5.32
441,United,CHS,DFW,ORD,233,1,6.3
442,American Airlines,CHS,DFW,ZZZ,241,0,2.8
443,American Airlines,CHS,DFW,ZZZ,241,0,2.8
444,Delta,CHS,DAL,ATL,249,1,4.83
445,Delta,CHS,DFW,ATL,249,1,5.92
446,American Airlines,CHS,DFW,CLT,301,1,4.72
447,American Airlines,CHS,DFW,CLT,301,1,5.4
448,American Airlines,CHS,DFW,CLT,301,1,6.55
449,Delta,CHS,DFW,ATL,302,1,4.48
450,Delta,CHS,DAL,ATL,302,1,4.55
451,Delta,CHS,DAL,ATL,302,1,4.6
452,Delta,CHS,DAL,ATL,302,1,4.85
453,Delta,CHS,DAL,ATL,302,1,5.55
454,Delta,CHS,DFW,ATL,302,1,5.73
455,Delta,CHS,DFW,ATL,302,1,5.88
456,Delta,CHS,DFW,ATL,302,1,5.98
457,Delta,CHS,DFW,ATL,302,1,6.0
458,Delta,CHS,DAL,ATL,302,1,6.05
459,Delta,CHS,DAL,ATL,302,1,6.07
460,Delta,CHS,DFW,ATL,302,1,6.52
461,Delta,CHS,DAL,ATL,302,1,6.55
462,Delta,CHS,DFW,ATL,302,1,6.98
463,Delta,CHS,DFW,ATL,302,1,7.13
464,Delta,CHS,DFW,ATL,302,1,7.77
465,American Airlines,CHS,DFW,CLT,344,1,7.98
466,Delta,CHS,DFW,ATL,345,1,4.32
467,Delta,CHS,DAL,ATL,345,1,4.38
468,Delta,CHS,DFW,ATL,345,1,4.98
469,United,CHS,DFW,IAH,411,1,5.35
470,United,CHS,DFW,IAD,411,1,5.58
471,United,CHS,DFW,ORD,411,1,6.13
472,United,CHS,DFW,IAD,422,1,6.23
473,American Airlines,CHS,DFW,CLT,431,1,4.87
474,American Airlines,CHS,DFW,CLT,431,1,6.35
475,American Airlines,CHS,DFW,CLT,431,1,6.48
476,American Airlines,CHS,DFW,CLT,431,1,7.97
477,Delta,CHS,DFW,ATL,433,1,4.38
478,Delta,CHS,DFW,ATL,433,1,4.53
479,United,CHS,DFW,EWR,442,1,9.6
480,United,CHS,DFW,ORD,515,1,5.53
481,United,CHS,DFW,IAD,553,1,5.88
482,Delta,CHS,DFW,LGA,554,1,7.75
483,Delta,CHS,SFO,ATL,239,1,7.83
484,Delta,CHS,SFO,ATL,239,1,9.05
485,Delta,CHS,SFO,ATL,239,1,9.58
486,United,CHS,SFO,IAH,301,1,8.42
487,United,CHS,SFO,IAD,301,1,10.92
488,Frontier Airlines,CHS,SFO,DEN,314,1,7.47
489,Delta,CHS,SFO,ATL,350,1,7.43
490,Delta,CHS,SFO,ATL,350,1,7.68
491,Delta,CHS,SFO,ATL,350,1,7.72
492,Delta,CHS,SFO,ATL,350,1,7.72
493,Delta,CHS,SFO,ATL,350,1,7.87
494,Delta,CHS,SFO,ATL,350,1,8.47
495,United,CHS,SFO,IAD,350,1,8.57
496,Delta,CHS,SFO,ATL,350,1,8.68
497,Delta,CHS,SFO,ATL,350,1,8.72
498,Delta,CHS,SFO,JFK,350,1,9.6
499,Delta,CHS,SFO,ATL,350,1,9.68
500,Delta,CHS,SFO,ATL,350,1,9.72
501,United,CHS,SFO,IAH,350,1,9.92
502,Delta,CHS,SFO,ATL,350,1,10.15
503,Delta,CHS,SFO,DTW,350,1,10.57
504,Delta,CHS,SFO,JFK,350,1,11.57
505,Delta,CHS,SFO,JFK,350,1,11.63
506,American Airlines,CHS,SFO,DFW,353,1,7.7
507,American Airlines,CHS,SFO,DFW,353,1,8.47
508,American Airlines,CHS,SFO,DFW,353,1,10.38
509,American Airlines,CHS,SFO,DFW,359,1,11.97
510,American Airlines,CHS,SFO,CLT,373,1,7.43
511,American Airlines,CHS,SFO,CLT,373,1,7.88
512,American Airlines,CHS,SFO,CLT,373,1,10.6
513,American Airlines,CHS,SFO,DFW,374,1,8.12
514,American Airlines,CHS,SFO,DFW,374,1,10.35
515,United,CHS,SFO,IAH,390,1,7.92
