,airline,departure,departureLat,departureLong,destination,destinationLat,destinationLong,layover,layoverLat,layoverLong,price,stops,travelTime
46,American Airlines,CHS,32.885193,-80.03694,CLT,35.220448,-80.94377,ZZZ,40,-100,400,0,1.2
47,American Airlines,CHS,32.885193,-80.03694,CLT,35.220448,-80.94377,ZZZ,40,-100,400,0,1.2
48,American Airlines,CHS,32.885193,-80.03694,CLT,35.220448,-80.94377,ZZZ,40,-100,400,0,1.25
49,American Airlines,CHS,32.885193,-80.03694,CLT,35.220448,-80.94377,ZZZ,40,-100,400,0,1.27
50,American Airlines,CHS,32.885193,-80.03694,CLT,35.220448,-80.94377,ZZZ,40,-100,400,0,1.32
51,American Airlines,CHS,32.885193,-80.03694,CLT,35.220448,-80.94377,ZZZ,40,-100,400,0,1.32
52,American Airlines,CHS,32.885193,-80.03694,CLT,35.220448,-80.94377,ZZZ,40,-100,400,0,1.38
53,American Airlines,CHS,32.885193,-80.03694,CLT,35.220448,-80.94377,DCA,38.853664,-77.0426,400,1,8.2
54,Delta,CHS,32.885193,-80.03694,CLT,35.220448,-80.94377,ATL,33.640545,-84.43341,415,1,4.17
55,Delta,CHS,32.885193,-80.03694,CLT,35.220448,-80.94377,ATL,33.640545,-84.43341,434,1,3.55
56,Delta,CHS,32.885193,-80.03694,CLT,35.220448,-80.94377,ATL,33.640545,-84.43341,439,1,6.83
57,United,CHS,32.885193,-80.03694,ORD,41.97707,-87.901184,ZZZ,40,-100,144,0,2.38
58,United,CHS,32.885193,-80.03694,ORD,41.97707,-87.901184,ZZZ,40,-100,144,0,2.4
59,United,CHS,32.885193,-80.03694,ORD,41.97707,-87.901184,IAD,38.95216,-77.44883,152,1,4.25
60,United,CHS,32.885193,-80.03694,ORD,41.97707,-87.901184,ZZZ,40,-100,179,0,2.38
61,American Airlines,CHS,32.885193,-80.03694,ORD,41.97707,-87.901184,ZZZ,40,-100,179,0,2.4
62,American Airlines,CHS,32.885193,-80.03694,ORD,41.97707,-87.901184,CLT,35.220448,-80.94377,186,1,4.62
63,American Airlines,CHS,32.885193,-80.03694,ORD,41.97707,-87.901184,CLT,35.220448,-80.94377,186,1,5.15
64,American Airlines,CHS,32.885193,-80.03694,ORD,41.97707,-87.901184,CLT,35.220448,-80.94377,186,1,6.85
65,American Airlines,CHS,32.885193,-80.03694,ORD,41.97707,-87.901184,PHL,39.87616,-75.242836,187,1,5.83
66,American Airlines,CHS,32.885193,-80.03694,ORD,41.97707,-87.901184,PHL,39.87616,-75.242836,187,1,7.97
67,Delta,CHS,32.885193,-80.03694,ORD,41.97707,-87.901184,ATL,33.640545,-84.43341,213,1,4.23
68,Delta,CHS,32.885193,-80.03694,ORD,41.97707,-87.901184,ATL,33.640545,-84.43341,213,1,5.92
69,Delta,CHS,32.885193,-80.03694,ORD,41.97707,-87.901184,ATL,33.640545,-84.43341,213,1,7.13
70,American Airlines,CHS,32.885193,-80.03694,ORD,41.97707,-87.901184,CLT,35.220448,-80.94377,223,1,6.35
71,Delta,CHS,32.885193,-80.03694,ORD,41.97707,-87.901184,ATL,33.640545,-84.43341,258,1,4.42
72,Delta,CHS,32.885193,-80.03694,ORD,41.97707,-87.901184,ATL,33.640545,-84.43341,258,1,5.45
73,Delta,CHS,32.885193,-80.03694,ORD,41.97707,-87.901184,ATL,33.640545,-84.43341,258,1,5.67
74,Delta,CHS,32.885193,-80.03694,ORD,41.97707,-87.901184,ATL,33.640545,-84.43341,258,1,6.85
75,Delta,CHS,32.885193,-80.03694,ORD,41.97707,-87.901184,ATL,33.640545,-84.43341,258,1,7.63
76,American Airlines,CHS,32.885193,-80.03694,ORD,41.97707,-87.901184,CLT,35.220448,-80.94377,287,1,4.3
77,American Airlines,CHS,32.885193,-80.03694,ORD,41.97707,-87.901184,CLT,35.220448,-80.94377,287,1,4.52
78,American Airlines,CHS,32.885193,-80.03694,ORD,41.97707,-87.901184,CLT,35.220448,-80.94377,287,1,5.92
79,American Airlines,CHS,32.885193,-80.03694,ORD,41.97707,-87.901184,PHL,39.87616,-75.242836,288,1,6.3
80,American Airlines,CHS,32.885193,-80.03694,ORD,41.97707,-87.901184,DFW,32.899193,-97.04005,288,1,8.52
81,American Airlines,CHS,32.885193,-80.03694,ORD,41.97707,-87.901184,DFW,32.899193,-97.04005,288,1,9.13
82,Delta,CHS,32.885193,-80.03694,ORD,41.97707,-87.901184,ATL,33.640545,-84.43341,302,1,5.25
83,American Airlines,CHS,32.885193,-80.03694,ORD,41.97707,-87.901184,DFW,32.899193,-97.04005,339,1,7.92
84,JetBlue Airways,CHS,32.885193,-80.03694,ORD,41.97707,-87.901184,JFK,40.645123,-73.78461,346,1,9.08
85,American Airlines,CHS,32.885193,-80.03694,ORD,41.97707,-87.901184,CLT,35.220448,-80.94377,357,1,4.15
86,American Airlines,CHS,32.885193,-80.03694,ORD,41.97707,-87.901184,CLT,35.220448,-80.94377,357,1,4.38
87,American Airlines,CHS,32.885193,-80.03694,ORD,41.97707,-87.901184,CLT,35.220448,-80.94377,357,1,4.47
88,American Airlines,CHS,32.885193,-80.03694,ORD,41.97707,-87.901184,CLT,35.220448,-80.94377,357,1,5.38
89,American Airlines,CHS,32.885193,-80.03694,ORD,41.97707,-87.901184,CLT,35.220448,-80.94377,357,1,5.87
90,American Airlines,CHS,32.885193,-80.03694,ORD,41.97707,-87.901184,CLT,35.220448,-80.94377,357,1,5.88
91,JetBlue Airways,CHS,32.885193,-80.03694,ORD,41.97707,-87.901184,BOS,42.36514,-71.01889,358,1,6.67
92,JetBlue Airways,CHS,32.885193,-80.03694,ORD,41.97707,-87.901184,BOS,42.36514,-71.01889,358,1,7.97
93,American Airlines,CHS,32.885193,-80.03694,ORD,41.97707,-87.901184,PHL,39.87616,-75.242836,358,1,6.32
94,American Airlines,CHS,32.885193,-80.03694,ORD,41.97707,-87.901184,PHL,39.87616,-75.242836,358,1,7.83
95,Delta,CHS,32.885193,-80.03694,ORD,41.97707,-87.901184,ATL,33.640545,-84.43341,385,1,3.98
96,Delta,CHS,32.885193,-80.03694,ORD,41.97707,-87.901184,ATL,33.640545,-84.43341,385,1,4.02
97,Delta,CHS,32.885193,-80.03694,ORD,41.97707,-87.901184,ATL,33.640545,-84.43341,385,1,4.5
98,Delta,CHS,32.885193,-80.03694,ORD,41.97707,-87.901184,ATL,33.640545,-84.43341,385,1,4.88
99,Delta,CHS,32.885193,-80.03694,ORD,41.97707,-87.901184,ATL,33.640545,-84.43341,385,1,5.82
100,Delta,CHS,32.885193,-80.03694,ORD,41.97707,-87.901184,ATL,33.640545,-84.43341,385,1,7.05
101,JetBlue Airways,CHS,32.885193,-80.03694,ORD,41.97707,-87.901184,BOS,42.36514,-71.01889,457,1,7.2
102,Delta,CHS,32.885193,-80.03694,ORD,41.97707,-87.901184,DTW,42.20911,-83.356346,465,1,4.28
103,Delta,CHS,32.885193,-80.03694,ORD,41.97707,-87.901184,JFK,40.645123,-73.78461,465,1,5.68
104,Delta,CHS,32.885193,-80.03694,PHX,33.435184,-112.00506,ATL,33.640545,-84.43341,229,1,6.35
105,Delta,CHS,32.885193,-80.03694,PHX,33.435184,-112.00506,ATL,33.640545,-84.43341,229,1,6.57
106,Delta,CHS,32.885193,-80.03694,PHX,33.435184,-112.00506,ATL,33.640545,-84.43341,229,1,6.73
107,Delta,CHS,32.885193,-80.03694,PHX,33.435184,-112.00506,ATL,33.640545,-84.43341,229,1,7.22
