,Unnamed: 0,airline,departure,destination,layover,price,stops,travelTime,airlineCode,departureCode,destinationCode,layoverCode
70,70,American Airlines,CHS,ORD,CLT,223,1,6.35,61.0,67.0,71.0,75.0
71,71,Delta,CHS,ORD,ATL,258,1,4.42,81.0,67.0,71.0,45.0
72,72,Delta,CHS,ORD,ATL,258,1,5.45,81.0,67.0,71.0,45.0
73,73,Delta,CHS,ORD,ATL,258,1,5.67,81.0,67.0,71.0,45.0
74,74,Delta,CHS,ORD,ATL,258,1,6.85,81.0,67.0,71.0,45.0
75,75,Delta,CHS,ORD,ATL,258,1,7.63,81.0,67.0,71.0,45.0
76,76,American Airlines,CHS,ORD,CLT,287,1,4.3,61.0,67.0,71.0,75.0
77,77,American Airlines,CHS,ORD,CLT,287,1,4.52,61.0,67.0,71.0,75.0
78,78,American Airlines,CHS,ORD,CLT,287,1,5.92,61.0,67.0,71.0,75.0
79,79,American Airlines,CHS,ORD,PHL,288,1,6.3,61.0,67.0,71.0,86.0
80,80,American Airlines,CHS,ORD,DFW,288,1,8.52,61.0,67.0,71.0,42.0
81,81,American Airlines,CHS,ORD,DFW,288,1,9.13,61.0,67.0,71.0,42.0
82,82,Delta,CHS,ORD,ATL,302,1,5.25,81.0,67.0,71.0,45.0
83,83,American Airlines,CHS,ORD,DFW,339,1,7.92,61.0,67.0,71.0,42.0
84,84,JetBlue Airways,CHS,ORD,JFK,346,1,9.08,50.0,67.0,71.0,52.0
85,85,American Airlines,CHS,ORD,CLT,357,1,4.15,61.0,67.0,71.0,75.0
86,86,American Airlines,CHS,ORD,CLT,357,1,4.38,61.0,67.0,71.0,75.0
87,87,American Airlines,CHS,ORD,CLT,357,1,4.47,61.0,67.0,71.0,75.0
88,88,American Airlines,CHS,ORD,CLT,357,1,5.38,61.0,67.0,71.0,75.0
89,89,American Airlines,CHS,ORD,CLT,357,1,5.87,61.0,67.0,71.0,75.0
90,90,American Airlines,CHS,ORD,CLT,357,1,5.88,61.0,67.0,71.0,75.0
91,91,JetBlue Airways,CHS,ORD,BOS,358,1,6.67,50.0,67.0,71.0,21.0
92,92,JetBlue Airways,CHS,ORD,BOS,358,1,7.97,50.0,67.0,71.0,21.0
93,93,American Airlines,CHS,ORD,PHL,358,1,6.32,61.0,67.0,71.0,86.0
